Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Tortiglioni - Barilla,Barilla,359.0,13.0,2.0,3.5,0.01,71.0,8076802085837,"Грис от твърда пшеница, вода",N/A
instant rice vermicelli noodles,mams,360.0,6.67,0.0,,,82.2,8851876200412,"Rice 95%, Tapioca starch 5%",N/A
Rice noodles chick-n ramen,Itsu,69.0,1.66,1.2,0.73,0.658,13.0,5060262489741,"Rice noodles (62%) (rice, tapioca starch, salt, broth paste (36%) (soybean paste [water, soya beans, rice, salt), water, sesame paste (10%), yeast extract, sesame oil (6%), sugar, rice bran oil, salt, alcohol, onion powder, paprika powder, garlic powder, chilli powder, ginger powder, black pepper), dried spring onion. Allergy advice: for allergens, see ingredients in bold. May contain celery and mustard.",N/A
Chicken & Mushroom,King Pot Noodle,459.0,10.5,18.4,3.6,1.98,60.5,5000118203664,"Noodle mix (96%): Dried noodles (69%) [WHEAT flour (contains calcium carbonate, i niacin, thiamin), palm oil, salt, firming agents (potassium carbonate, sodium carbonate maltodextrin, WHEAT flour, sweetcorn, potassium chloride, flavour enhancers (monosodium glutamate, disodium inosinate, disodium guanylate), flavourings (contai MILK), sugar, skimmed MILK powder, palm fat, salt, onion powdert, yeast powder (contains WHEAT, BARLEY), mushrooms (0.4%), herbs (chivest, sage), potato starch, mushroom je concentrate, acid (citric acid). Sauce sachet (4%): Soy sauce [water, soy sauce (SOYBEANS WHEAT), salt, molasses, sugar, acid (acetic acid)].",N/A
Rummo Linguine N°13,Rummo,356.0,14.5,1.6,3.1,0.005,69.5,8008343200134,Semola di grano duro.,N/A
Nudeln,"Combino, Erfurter Teigwaren, Lidl",359.0,12.0,1.9,3.0,0.03,72.0,4013159604575,Hartweizengrieß 100%,N/A
Red Pesto,"Sainsburys,Sainsbury's",284.0,2.9,26.7,3.6,1.2,6.8,00433228,"Tomato Paste (41%), Sunflower Oil, Rehydrated Sundried Tomatoes (8%), Tomato Purée (6%), Basil (5%), Red Peppers, Grana Padano Cheese (2%) (Grana Padano Cheese (Cows' Milk), Preservative: Egg Lysozyme), Cashew Nuts, Salt, Pecorino Romano Cheese (Sheep's Milk) (1%), Carrots, Pine Nuts, Extra Virgin Olive Oil, Acidity Regulator: Lactic Acid, Paprika Powder, Pea Fibre, Sugar, Garlic Powder, Antioxidant: Ascorbic Acid.",N/A
Glass Noodles,Vitasia,360.0,0.0,2.0,0.0,0.1,86.0,20441951,"igwa erbsstärke, maisstärke, wasser, zubereitung: len lassen anschliessend abtropfen lassen und weiter - asser übergiessen und ca, de vor wärme, feuchtigked cht geschützt lagern, nach dem öffnen innerhalb von 2 tagen konsulte ch lu noufles glass based on pea starch and demais, ingredients: pamidon starch of maize, water, repair advice: immerse the glass notes in simmering water,    let them swell for about 5 minutes, drain and serve, store away from heart, moisture and light opening, consume under bear it ch glass nooles-p di mais, ingredienti: a do di paveido preparazione: versare il contenute in acqu 5 minuti, infine scolare e codire, conservare in luogo fresco e a ciparo dalla luce solare,  una volta aperto consumare entro 2orni,   incartamento: pp 5 (plastica) raccolta differenziata, verifica le disposizioni del tuo comune, yantai 265400, shandong jindu hongfa foodstuffs co,, ltd, zhaoyuan geproduceerd door/hergestellt von:/developed by/prodotto da economic development zone, zhaoyuan, shandong, p,r, china/china/cina voor:/für,/pour/prodotto per: lidl stiftung,co, kg, stiftsbergstr, 1,  de-74167 neckarsulm duitsland/deutschland/germany/germania gla cons guta mit kock en izejas pen netto gewicht:/ nettogewicht:/ pan's het:/peso netto: bamido di pisellie mais, acqua ollente e cuocere per 100ge houdbaar tot tens haltbar rence",N/A
Chicken Gyoza Dinner Dumplings,Itsu,155.0,8.2,4.4,2.5,0.0,20.0,5060262485583,"Gyoza filling (chicken thigh & skin (37%), cabbage, white onion, spring onion, soy sauce [water, soya beans, wheat, salt), ginger, yeast extract, garlic, chicken stock [water, chicken (bones, meat, fat), salt], sesame oil, textured soya protein, sugar, salt, water, black pepper, turmeric), gyoza skin (wheat flour, water, tapioca starch, wheat gluten, rapeseed oil, salt, turmeric).",N/A
PastaBox - Pâtes fraîches fromages italiens,sodebo,162.0,6.7,7.3,0.5,0.59,17.0,3242272270355,"Pâtes fraîches cuites (semoule de blé dur 26%, eau, œuf, sel), eau, crème fraîche légère 8%, lait écrémé, emmental 4%, Grana padano AOP 3%, Gorgonzola AOP 2%, beurre, échalote 2%, fromage à páte pressée cuite, fécule de manioc, amidon de maïs, conservateurs : E202, acétate de sodium, E1105, sel, poivre, Informations en gras destinées aux personnes allergiques,",N/A
