Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Multigrain Rice Cakes,Savour Bakes,400.0,11.4,5.71,0.0,0.429,72.9,4088600526065,"BROWN RICE (76%), Com, Sorghum, Buckwheat, Linseed, Sunflower Seeds, Sea Salt.",N/A
Nougat Bits,"Crownfield, Lidl, Nordgetreide",445.0,7.2,15.4,28.5,0.4,67.0,20101268,"Mehl (25% Weizenvollkorn, 14% Weizen, 2% Reisvollkorn), Zucker, getrockneter Glukosesirup, Rapsöl, Palmöl, 4% fettarmer Kakao, 4% Haselnüsse, Maisvollkorngrieß, Füllstoff: Calciumcarbonat, Speisesalz, Emulgator: Lecithine, natürliche Aromen, Kann Spuren von anderen glutenhaltigen Getreiden, anderen Schalenfrüchten, Erdnüssen, Milch und Soja enthalten,",N/A
Sweet Chilli & Red Pepper,Tyrrell’s,468.0,6.3,25.0,5.1,1.1,51.0,5060042641413,"potatoes, sunflower oil, sugar, natural flavouring, onion powder, salt, tomato powder, garlic powder, cayenne pepper, dried parsley, ground jalapeño chilli pepper, white pepper, natural colour (paprika extract), ground ginger, ground star anise, dried basil, ground red pepper,",N/A
Tortelloni Ricotta et épinards,"Baresa, Lidl, Ospelt food AG",276.0,9.2,10.8,3.5,0.945,34.2,4056489009191,"53% fourrage aux épinards et à la Ricotta (35% Ricotta (lactosérum (lait), acidifiant: acide citrique; sel), 20% épinards, flocons de pommes de terre (pommes de terre, antioxydant: extraits de romarin ; chapelure (farine de blé, levure, sel), huile de colza, poudre de lactosérum (lait), 5% Mascarpone (crème (lait), lait écrémé, acidifiant : acide citrique ; poudre de lactosérum (lait)), huile de colza totalement hydrogénée, farine de riz, sel iodé (sel, iodure de potassium), arôme naturel (contient lait), pâte d'ail (ail, sel), muscade moulue), 47% pâtes aux œufs (farine de blé, 30% œuf*, semoule de blé dur). *Issu de poules élevées au sol. Traces éventuelles de poissons, de crustacés, de fruits à coque, de sulfites, de céleri, de moutarde et de soja.",N/A
"Wholemeal, Seeds and Grains Loaf",Tesco Finest,256.0,11.6,5.0,2.73,0.892,37.5,5057753893958,"wholemeal wheat flour, water, mixed seeds (8%) (pumpkin seed, sunflower seed, brown linseed, millet, poppy seed), mixed grains (6%) (wheat flakes, pearl barley), yeast, flour, emulsifiers (mono - and di-acetyl tartaric acid esters of mono - and di-glycerides of fatty acids), spirit vinegar, barley malt flour, rapeseed oil, flour treatment agent (ascorbic acid).",N/A
Oat Barista Blend,Califia Farms,54.0,0.8,2.9,2.8,0.12,5.8,0813636022953,"OAT DRINK (WATER, OATS (10%)), RAPESEED OIL, ACIDITY REGULATOR (DIPOTASSIUM PHOSPHATE), CALCIUM CARBONATE, TRICALCIUM PHOSPHATE. SEA SALT.",N/A
Quinoa red & white,Merchant Gourmet,184.0,5.8,3.2,1.2,0.01,31.0,5056215600103,"Cooked White Quinoa (81%) (Water, White Quinoa), Cooked Red Quinoa (18%) (Water, Red Quinoa), Olive Oil.",N/A
Chips saveur Chèvre piment d'Espelette,Brets,522.0,6.3,31.0,2.6,1.6,52.0,3497917000518,"Pommes de terre  (France) (61,9%),  huile de tournesol  (31%), petit lait en poudre, arômes naturels  (lait), sel, fromage de chèvre fondu en poudre  (0,9%), piment d'Espelette  AOP  (0,72%), épices (curcuma, poivre).",N/A
Soft Tiger Bloomer,Warburtons,251.0,10.1,2.4,3.0,0.98,46.2,5010044003955,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], Water, Yeast, Ground Rice, Vegetable Oil (Rapeseed, Sustainable Palm), Salt, Emulsifiers: E471, E472e; Soya Flour, Flavouring, Preservative: Calcium Propionate (added to inhibit mould growth); Dextrose, Flour Treatment Agents: E920 (Vegetarian), Ascorbic Acid (Vitamin C ).",N/A
Peanut Delight,Nakd,442.0,12.0,23.0,35.0,0.58,42.0,5060088705179,"Dates 53%, Peanuts 46%, Sea salt, natural flavoring",N/A
Shredded Wheat,Nestlé,367.5,11.75,2.25,0.75,0.05,68.75,7613287171009,Whole Grain Wheat (100%).,N/A
Organic 21 Whole Grains and Seeds Thin-Sliced,Dave’s Killer Bread,214.0,10.7,0.0,10.7,0.938,50.0,0013764027138,"ORGANIC WHOLE WHEAT FLOUR, ORGANIC CRACKED WHOLE WHEAT, WATER ORGANIC DRIED CANE SYRUP (SUGAR), GRAIN MIX CORGANIC WHOLE FLAXSEEDS, ORGANIC GROUND WHOLE FLAXSEEDS, ORGANIC SUNFLOWER SEEDS, ORGANIC ROLLED OATS, ORGA NIC PUMPKIN SEEDS, ORGANIC MILLET, ORGANIC RYE, ORGANIC BROWN RICE, ORGANIC ROLLED TRITICALE, ORGANIC ROLLED BARLEY, ORGANIC UN-HULLED BROWN SESAME SEEDS, ORGANIC UN-HULLED BLACK SESAME SEEDS, ORGANIC AMARANTH FLAKES, ORGANIC BUCKWHEAT, ORGANIC ROLLED SPELT, ORGANIC BLUE CORNMEAL, ORGANIC GROUND YELLOW CORN, ORGANIC ROLLED KAMUT® KHORASAN WHEAT, ORGANIC POPPY SEEDS, ORGANIC QUINOA, ORGANIC SORGHUM), ORGANIC VITAL WHEAT GLUTEN, ORGANIC OAT FIBER, ORGANIC MOLASSES, SEA SALT, YEAST, ORGANIC CULTURED WHEAT. MANUFACTURED IN A FACILITY THAT USES TREE NUTS. MAY CONTAIN TRACES OF OTHER GRAINS AND SEEDS.",N/A
Oat M*lk,minor figures,24.0,0.1,1.05,2.25,0.05,4.75,5060406080223,"Water, Oats (10%), Rapeseed Oil, Acidity Regulator (Tricalcium Phosphate), Calcium Carbonate, Salt.",N/A
White tiger bloomer,Black Sheep Craft Bakery,295.0,8.07,7.02,3.86,,48.2,5060202390359,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Rapeseed Oil, Yeast, Fermented Wheat Flour, Wheat Flour, Salt, Rice Flour, Dextrose, Acidity Regulators: Calcium Sulphate, Citric Acid, Raising Agents: Sodium Carbonates, Ammonium Carbonates, Flour Treatment Agents: L-Cysteine, Ascorbic Acid, Malted Barley, Wheat Sourdough, Preservative: Calcium Propionate, Wheat Starch",N/A
