Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
Organic Natural Yoghurt,Yeo Valley,72.0,4.2,3.8,4.9,0.12,4.9,5036589255598,"Organic Milk, bifidobacterium live culture",N/A
Hafer Milch Barista Edition,Oatly!,61.0,1.1,3.0,3.4,0.1,7.1,7394376616501,"Wasser, Hafer 10%, Rapsöl, Säureregulator (Dikaliumphosphat), Mineralien (Calciumcarbonat, Kaliumiodid), Salz, Vitamine (Vitamin D2, Riboflavin, Vitamin B12)",N/A
double zéro Cerise,Danone,48.3,3.4,0.2,0.0,0.0,8.23,6111032010135,"Lait écrémé, lait écrémé en poudre, préparations de fruits, épaississant (amidon), lactosérum, arômes, colorants naturels (toucylate et carmin), édulcorant (stevia), cultures lactiques pour yaourt. Contient naturellement 0% de sucres. Fabriqué dans une ligne pouvant contenir des amandes et du gluten.",N/A
Authentic Greek Yogurt,Brooklea,132.0,6.4,10.0,3.2,0.2,3.7,4088600060880,greek yogurt,N/A
,Danone,,,,,,,6111032006718,milb 17 00 فلان کرآميل 33 يستهلك حتى: 21/04 15:24 رقم الإعتماد الصحی LPL;3.1.13 :ONSSA د المكونات: سکر، مسحوق الحليب بدون قشدة، مغطى بالكراميل، قشدة، مخثر )نشاء 20 20 و U0 مكالمة حرة 80غ 25 کراکینان(، نكهة، ملون طبيعي )با کاروتين(،مثبت )فوسفاط الصوديوم( م هن%1و2 6111032&quot;006718 الحاج قدور. مكناس - المغرب انتهاء الصلاحية - 30 يوم يحفظ في 5° على الأكثر. سنطرال دانون - طريق قلان كرامیل۔ تاريخ الإنتاج = تاریخ %3D,N/A
Real Mayonnaise,Stokes,695.0,1.4,75.8,1.5,0.54,1.5,5060092690331,"Rapeseed Oil (75%), Free Range Pasteurised Whole Egg (12%), Water, Extra Virgin Olive Oil (5%), Unrefined Raw Cane Sugar, Acid: Acetic Acid, Sea Salt, Mustard",N/A
,Jaouda,163.6,6.4,6.7,8.5,0.0,19.4,6111266962576,حليب طرى كامل الدسم، قشدة سكر، مسحوق الحليب بدون قشدة، مخثر : نشا، خمائر حليبية مختار.,N/A
Danone (zéro sucre ajouté zéro matière grasse),Danone,48.0,3.4,0.2,0.0,0.0,8.14,6111032010128,33337 دانون % 48 مواد دهنية سكر مضاف غني بالبروتين E : 26 JUL 1008E % شكل 21003,N/A
Activia Céréales,Danone,101.0,3.4,3.3,14.3,0.0,14.3,6111032002208,"Lait sans crème, mélanges de produits laitiers, préparations céréalières, crème, sucre, lait en poudre sans crème, amidon modifié, arômes, levure helba. Pour yaourt, bifide et bactéries. Contient du gluten et est fabriqué dans une ligne pouvant contenir des amandes.

Poids net : 110 g",N/A
"Fermentiertes Sojaprodukt, Ungesüßt","Alpro, Danone",42.0,4.0,2.3,0.0,0.24,0.0,5411188118121,"_Sojabasis_ (98,3%) (Wasser, geschälte _Sojabohnen_ (10,7%)), Calcium (Tricalciumcitrat), Säureregulatoren (Natriumcitrate, Citronensäure), Stabilisator (Pektine), natürliches Aroma, Meersalz, Antioxidationsmittel (stark tocopherolhaltige Extrakte, Fettsäureester der Ascorbinsäure), Vitamine B12, D2, Joghurtkulturen (S. thermophilus, L. bulgaricus)",N/A
Ohne Zuckerzusatz* Mango,Alpro,62.0,3.7,2.2,5.4,0.2,6.0,5411188125808,"Sojabasis (81,8%) (Wasser, geschälte Sojabohnen (9,7%)), Mangomischung (16,8%) (Frucht (9,6%), Saftkonzentrat (7,2%)), Calcium (Tricalciumcitrat), Stabilisator (Pektine), Säureregulatoren (Natriumcitrate, Citronensäure), natürliche Aromen, modifizierte Stärke, Meersalz, Antioxidationsmittel (stark tocopherolhaltige Extrakte, Fettsäureester der Ascorbinsäure), färben des Karotten - und Kürbiskonzentrat, Vitamine B2, B12, D2, Joghurtkulturen (S. thermophilus, L. bulgaricus).",N/A
Blueberry Muffin Myrtilles,Nakd,374.0,6.57,11.1,48.6,0.0285,57.1,5060088706534,"Dates 58%, _Cashews_ 15%, Raisins 15%, _Almonds_ 10%, Blueberries 2%, Natural Flavouring",N/A
Kefir,Biotiful,58.0,3.3,3.0,3.7,0.1,4.4,5060337221085,"Pasteurised Cows Milk fermented with live Kefir Cultures (Bifidobacterium, Lactobacillus acidophilus, Lactobacillus casei, Lactobacillus rhamnosus)",N/A
5% Greek Yoghurt,Fage,93.0,9.0,5.0,3.0,0.0975,3.0,5201054017531,"pasteurised skimmed milk, cream (milk), live active yoghurt cultures (l. bulgaricus, s. thermophilus, l. acidophilus, bifidus, l. casei)",N/A
Vitalite Dairy Free Spread,Vitalite- suitable for Vegan,504.0,0.0,56.0,0.0,1.5,0.0,5000373704289,"vegetable oils (sunflower (21%), rapeseed, palm), water, salt, emulsifiers (e471), sunflower lecithin, preservative (potassium sorbate), acid (lactic acid), vitamins (niacin, b6, b2, folic acid, b12), flavourings, colours (annatto, curcumin)",N/A
Raibi jamila,central,58.6,1.6,1.3,7.0,0.0,10.2,6111032009870,"lait, sucre, poudre de lait, beurre, gras, édulcorants",N/A
Greek 0%,Aldi- emporium,57.0,10.4,0.0,3.5,0.225,3.9,4088600060941,Milk,N/A
The Original Organic Oat Drink imp,Oatly,39.0,1.1,0.5,3.4,0.1,7.2,7394376123337,"water,  oats * 10%,  sea salt, * organic ingredient",N/A
"Alpro® Barista Haferdrink, 1 L, UHT",Alpro,59.0,0.8,3.0,3.3,0.13,6.7,5411188127697,"_Haferbasis_ (95,6%) (Wasser, _Hafer _(10%)), Sonnenblumenöl, Zichorienwurzelfasern, Erbsenprotein, Säureregulator (Kaliumphosphate), Meersalz, Vitamine B2, D2.",N/A
,,253.0,2.3,26.0,3.0,0.18,3.3,8585002517968,"Babeurre, huile de noix de coco (hydrogénée) 17.5%, eau, huile de noix de coco 7.5%, amidon modifie, emulsifiants: E 472b, E 473, E 322 (soja); stabilisants: E 460, E 466, E 331, E410, E415.",N/A
Fage,Fage,54.0,10.3,0.0,3.0,0.1,3.0,5201054017517,"Pasteurised skimmed _milk_ , live active yoghurt cultures (L. Bulgarians, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei)",N/A
Oat Drink Whole,Oatly!,60.0,1.1,2.8,3.4,0.0975,7.9,7394376665035,"oat base (water, oats 10%), rapeseed oil, acidity regulator, (dipotassium phosphate), calcium carbonate, calcium phosphates, iodised salt, vitamins (d2, riboflavin and b12),",N/A
Délicieuse & Tropical Coco,Alpro,20.0,0.1,0.8,1.9,0.13,2.7,5411188116592,"Eau, lait de coco [8,6%] [eau, crème de noix de coco [4%]], riz [3,3%), calcium, stabilisants (gomme guar, gomme gellane, gomme xanthane), sel marin de table, arômes, vitamine B12. 

Peut contenir des traces de fruits à coque (pas d'arachides). Sans produits laitiers, ni gluten. Naturellement sans lactose.",N/A
Barista edition oat drink,Oatly!,61.0,1.1,3.0,3.4,0.1,7.1,7394376620157,"water, oats 10%, rapeseed oil, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (d2, riboflavin, b12),",N/A
Dessert gourmand choco,Jaouda,129.0,3.6,4.5,,,19.1,6111242102552,"lait entier, crème, sucre, épaississant: (amidon, carraghénane), caramel, arôme, colorant naturel. Matière grasse: 4%",N/A
Iogurte Estilo Grego,Milbona,58.0,6.0,2.0,4.0,0.1275,4.0,20416690,"_Leite_ magro, Culturas _lácteas_",N/A
Greek style yoghurt,Tesco,99.0,3.7,7.5,4.2,0.0975,4.2,5057373489593,Milk,N/A
High Protein Drink Cacao,"Milbona, Milbona (Lidl)",67.0,10.6,0.3,5.2,0.44625,5.3,4056489406679,"edulcorante. *Alto teor em proteína, 35 g por embalagem. Ingredientes: 81% leite magro, 17% proteínas do leite, 1,2% cacau magro, estabilizador. carragenina; edulcorante sucralose; aroma.",N/A
Danup fraise,Danone,79.4,2.4,1.2,10.6,0.09,14.7,6111032004448,حليب مخمر منکه الكونات حليب بدون قشدة ، سگر مسحوق الخيب بدون قشدة برونينات حليبية قشد زيدة مخظر )نشا نكهان خمائر حليبية ليوغورت أملام مدنية )حديد( فيتامين مصنوع ب خط قد يحتوي على الكلونين يستهلك حتى أنظر أعلاه رقم الإعتماد الصحي MA LPL2.1.13 ستطرال دانون : طريق,N/A
"Alpro Joghurtalternative auf Sojabasis, Natur mit Mandeln, 500 g, 31",Alpro,54.0,3.9,2.8,2.2,0.25,2.3,5411188118961,"Eau, fèves de soja décortiquées (7,8%), sucre, amande 1,3%, citrate tricalcique, stabilisant (pectine), correcteurs d'acidité (citrate de sodium, acide citrique), arôme naturel, sel marin, antioxygènes (extrait riche en tocophérols, esters d'acides gras de l'acide ascorbique), arômes, vitamines (B12, D2, E), ferments de yaourt (S, thermophilus, L, bulgaricus),",N/A
Alpro Plain,"Alpro, Danone",51.0,4.0,2.3,2.2,0.24,2.3,5411188099154,"water, hulled soya beans (10,7%), sugar, calcium (tricalcium citrate), stabiliser (pectins), acidity regulators (sodium citrates, citric acid), sea salt, flavouring,  antioxidants (tocopherol-rich extract, fatty acid esters of ascorbic acid), vitamins (b12, d2), yogurt cultures (s, thermophilus, l, bulgaricus).",N/A
"Alpro® Mandeldrink Ungesüßt, 1 L, FRESH",Alpro,13.0,0.4,1.1,0.0,0.13,0.0,5411188112778,"Wasser. _Mandeln_ (2%), Tricalciumphosphat, Meersalz. Stabilisatoren (Johannisbrotkernmehl. Gellan), Emulgator (Sonnenblumenlecithin), Vitamine (Riboﬂavin (82), B12. E, D2).",N/A
,Alpro,68.0,6.0,3.3,2.5,0.325,2.6,5411188121213,"Sojabasis (water, gepelde sojabonen (15,7%)), suiker, stabilisator (pectinen), tricalciumcitraat, zuurteregelaars (natriumcitraten, citroenzuur), natuurlijk aroma, zeezout, antioxidanten (tocoferolrijk extract, vetzuuresters van ascorbinezuur), vitaminen (B12, D2), yoghurtculturen / - fermenten (S. thermophilus, L. bulgaricus). Kan sporen van noten (geen pindanoten) bevatten. Vrij van zuivel en gluten.",N/A
Butter,Lurpak,739.0,0.6,82.0,0.7,1.2,0.7,5740900404496,"butter (milk), lactic culture (milk), salt,",N/A
Greek style natural yoghurt,Brooklea,125.0,4.1,10.0,4.4,0.1,4.6,4088600266008,milk,N/A
Kéfir natural sabor suave,Mercadona,74.0,3.9,4.2,2.3,0.0775,5.1,8436547770137,"Leche, nata, leche en polvo desnatada y fermentos",N/A
Minor Figures Barista Oat organic,Minor Figures,46.0,0.3,1.9,3.3,0.275,6.9,5060406080452,"Water, Organic Oats (12%), Organic Sunflower Oil, Salt, Acidity Regulator (Potassium Carbonate).",N/A
